cycle,ts,dopamine,serotonin,glutamate,gaba,noradrenaline,acetylcholine,histamine,orexin,bdnf,adenosine,endocannabinoid_2ag,cortisol,exploration_bias,plasticity_level,adaptive_threshold,survivors,participated,weakened,effectiveness,reciprocal_gate,allostatic_load
85,1783770976,0.354845,0.340054,0.688743,0.492654,0.847838,0.507622,0.4397,0.8384,0.8996,0.600545,1e-06,0.1423778204109197,0.8166475503510707,0.9319629356853802,0.8581911654586462,11.0,89.0,78.0,0.0012337278645215917,0.339154969991194,0.08701533413905825
86,1783770984,0.351427,0.338174,0.689283,0.49272,0.84784,0.507863,0.4397,0.8383,0.8994,0.600644,1e-06,0.1423778204109197,0.8176286213520711,0.9326977578099638,0.8581812183714381,16.0,88.0,72.0,-0.0031467647750071217,0.3390300589938358,0.08701533413905825
87,1783770991,0.352891,0.338979,0.689055,0.492692,0.847842,0.507755,0.4397,0.8381,0.8988,0.600451,1e-06,0.1423778204109197,0.8172148920752534,0.932386485743978,0.8518611270782976,18.0,87.0,69.0,0.0013518958760649017,0.33923966129568506,0.08701533413905825
88,1783770998,0.353125,0.339108,0.68902,0.492689,0.847844,0.507735,0.4397,0.838,0.8975,0.600333,1e-06,0.1423778204109197,0.8171526374996636,0.9323388256665108,0.8391285099249401,12.0,95.0,83.0,0.00021784023074431552,0.33939052290697946,0.08701533413905825
89,1783771005,0.351462,0.338193,0.689284,0.492721,0.847846,0.50785,0.4398,0.8378,0.8927,0.600041,1e-06,0.1423778204109197,0.8176321614901009,0.9326975054216389,0.8447728295395386,10.0,95.0,85.0,-0.0015296114231441852,0.33975808603488555,0.08701533413905825
90,1783771012,0.352726,0.338888,0.689088,0.492698,0.847848,0.507756,0.4398,0.8377,0.8911,0.60024,1e-06,0.1423778204109197,0.8172755526860636,0.9324290914351246,0.8707372737348857,13.0,89.0,76.0,0.0011672449367587945,0.33957616022441994,0.08701533413905825
91,1783771020,0.351638,0.33829,0.689261,0.49272,0.84785,0.507831,0.4398,0.8376,0.8898,0.600446,1e-06,0.1423778204109197,0.8175908561128975,0.9326646174227697,0.8674645378935407,13.0,91.0,78.0,-0.001000250344835921,0.3393450321570939,0.08701533413905825
92,1783771027,0.352341,0.338677,0.689153,0.492707,0.847852,0.507777,0.4397,0.8374,0.8871,0.600583,1e-06,0.1423778204109197,0.8173943716818517,0.9325163082654453,0.8658519284484623,11.0,96.0,85.0,0.0006503863749463262,0.33916578250996576,0.08701533413905825
93,1783771034,0.354861,0.340062,0.688759,0.492661,0.847854,0.507594,0.4397,0.8373,0.8826,0.600863,1e-06,0.1423778204109197,0.8166787960234457,0.9319786863841095,0.8543099143394592,10.0,97.0,87.0,0.002326413920071328,0.33880580775697594,0.08701533413905825
94,1783771041,0.353595,0.339366,0.688961,0.492685,0.847856,0.507681,0.4396,0.8371,0.882,0.601001,1e-06,0.1423778204109197,0.8170449842097447,0.9322523930315025,0.8617895951936493,13.0,94.0,81.0,-0.0011653011432750681,0.3385869854298832,0.08701533413905825
95,1783771048,0.35063,0.337736,0.689429,0.492742,0.847858,0.50789,0.4396,0.8369,0.8827,0.600817,1e-06,0.1423778204109197,0.8178962012543991,0.9328898769171686,0.8522459965342476,13.0,92.0,79.0,-0.002728303334881571,0.33874752980091816,0.08701533413905825
96,1783771056,0.351555,0.338244,0.689286,0.492725,0.84786,0.507821,0.4395,0.8368,0.8841,0.600856,1e-06,0.1423778204109197,0.8176363928904664,0.9326940972908115,0.8557216388869676,11.0,91.0,80.0,0.0008540786930022701,0.3386850908606428,0.08701533413905825
97,1783771063,0.353159,0.339126,0.689036,0.492696,0.847862,0.507703,0.4395,0.8366,0.8954,0.600723,1e-06,0.1423778204109197,0.817182403903786,0.9323526876923183,0.8521630174477026,11.0,92.0,81.0,0.0014808993340791174,0.3388256236024499,0.08701533413905825
98,1783771071,0.36116,0.343527,0.687781,0.492545,0.847864,0.507128,0.4397,0.8365,0.903,0.599701,1e-06,0.1423778204109197,0.814900503521906,0.930640349993445,0.8491126560623998,11.0,93.0,82.0,0.007395134464845714,0.34003685652171484,0.08701533413905825
